"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Oct-2024","EQ","975.00","975.75","905.10","976.35","919.00","919.35","933.83","1,348.00","686.00","16,89,777","1,57,79,58,820.20","86,337"
"24-Oct-2024","EQ","981.90","988.50","969.00","981.60","975.00","976.35","977.07","1,348.00","686.00","19,04,115","1,86,04,44,262.65","57,630"
"23-Oct-2024","EQ","1,008.95","1,008.95","965.40","1,009.85","980.75","981.60","979.09","1,348.00","686.00","32,68,890","3,20,05,46,316.60","1,10,184"
"22-Oct-2024","EQ","1,017.50","1,043.40","987.00","1,017.55","1,000.00","1,009.85","1,011.62","1,348.00","686.00","37,85,445","3,82,94,48,794.00","1,51,786"
"21-Oct-2024","EQ","1,043.30","1,048.70","1,008.00","1,043.30","1,019.85","1,017.55","1,025.55","1,348.00","686.00","7,99,922","82,03,63,983.90","36,598"
"18-Oct-2024","EQ","1,015.55","1,046.00","1,004.00","1,021.65","1,042.95","1,043.30","1,033.55","1,348.00","686.00","21,62,032","2,23,45,72,634.25","71,460"
"17-Oct-2024","EQ","1,027.05","1,036.85","1,015.00","1,032.65","1,020.00","1,021.65","1,024.17","1,348.00","686.00","14,87,254","1,52,31,96,494.70","55,233"
"16-Oct-2024","EQ","1,010.75","1,038.35","1,003.20","1,004.70","1,032.50","1,032.65","1,026.80","1,348.00","686.00","30,45,843","3,12,74,68,146.95","85,150"
"15-Oct-2024","EQ","984.85","1,009.00","974.05","982.40","1,006.00","1,004.70","985.63","1,348.00","686.00","24,74,266","2,43,87,13,410.15","54,400"
"14-Oct-2024","EQ","994.00","1,014.80","977.10","976.80","982.00","982.40","988.11","1,348.00","686.00","13,63,315","1,34,70,98,613.30","56,599"
"11-Oct-2024","EQ","997.90","999.05","974.70","989.85","976.80","976.80","983.27","1,348.00","686.00","10,55,225","1,03,75,69,227.25","54,023"
"10-Oct-2024","EQ","992.95","1,001.60","963.60","983.30","995.00","989.85","976.19","1,348.00","686.00","19,81,159","1,93,39,77,720.45","74,954"
"09-Oct-2024","EQ","1,015.80","1,017.45","980.50","1,007.30","983.95","983.30","992.39","1,348.00","686.00","17,52,790","1,73,94,58,156.85","89,891"
"08-Oct-2024","EQ","931.00","1,010.00","915.00","934.20","1,008.20","1,007.30","982.62","1,348.00","686.00","49,82,440","4,89,58,35,445.75","1,77,876"
"07-Oct-2024","EQ","976.00","982.70","920.80","962.75","935.00","934.20","939.75","1,348.00","686.00","43,21,395","4,06,10,49,567.55","1,32,180"
"04-Oct-2024","EQ","1,016.00","1,020.50","955.00","1,015.85","964.00","962.75","978.70","1,348.00","686.00","51,74,616","5,06,43,99,888.75","2,21,566"
"03-Oct-2024","EQ","1,023.80","1,039.70","1,010.00","1,040.10","1,021.70","1,015.85","1,023.28","1,348.00","686.00","9,83,956","1,00,68,60,341.40","42,916"
"01-Oct-2024","EQ","1,013.95","1,053.45","1,010.00","1,009.65","1,043.00","1,040.10","1,040.41","1,348.00","686.00","40,58,979","4,22,30,01,311.50","1,26,378"
"30-Sep-2024","EQ","1,009.90","1,018.70","994.00","1,010.20","1,010.00","1,009.65","1,009.00","1,348.00","686.00","11,70,771","1,18,13,06,315.35","61,866"
"27-Sep-2024","EQ","1,036.10","1,056.00","1,001.05","1,036.70","1,012.00","1,010.20","1,029.27","1,348.00","686.00","15,37,355","1,58,23,49,544.95","61,271"
"26-Sep-2024","EQ","1,045.00","1,049.40","1,033.00","1,044.20","1,040.00","1,036.70","1,040.28","1,348.00","686.00","6,41,975","66,78,36,451.35","25,055"
"25-Sep-2024","EQ","1,049.00","1,053.85","1,036.00","1,051.15","1,045.30","1,044.20","1,044.52","1,348.00","686.00","10,91,528","1,14,01,20,985.80","42,319"
"24-Sep-2024","EQ","1,030.00","1,068.00","1,021.45","1,025.95","1,049.05","1,051.15","1,049.48","1,348.00","686.00","41,31,050","4,33,54,38,224.35","99,495"
"23-Sep-2024","EQ","1,025.20","1,040.00","1,017.00","1,007.15","1,022.20","1,025.95","1,028.20","1,348.00","686.00","23,23,963","2,38,95,04,751.90","76,130"
"20-Sep-2024","EQ","976.20","1,019.90","976.20","979.00","1,008.00","1,007.15","1,001.00","1,348.00","686.00","47,88,824","4,79,35,96,472.15","1,21,964"
"19-Sep-2024","EQ","993.10","998.45","967.05","979.90","980.00","979.00","979.77","1,348.00","686.00","34,14,484","3,34,54,12,843.70","79,888"
"18-Sep-2024","EQ","988.00","993.00","977.00","989.00","979.80","979.90","984.02","1,348.00","686.00","28,47,382","2,80,18,92,802.95","80,575"
"17-Sep-2024","EQ","985.00","995.00","976.15","980.50","988.65","989.00","983.61","1,348.00","686.00","13,20,871","1,29,92,18,709.20","41,909"
"16-Sep-2024","EQ","990.50","1,010.00","978.00","983.30","979.95","980.50","991.72","1,348.00","686.00","17,87,723","1,77,29,11,845.55","88,696"
"13-Sep-2024","EQ","991.00","1,009.00","980.00","1,008.20","982.50","983.30","994.21","1,348.00","686.00","16,39,099","1,62,96,04,812.15","50,702"
"12-Sep-2024","EQ","1,004.10","1,012.00","990.00","998.10","1,006.00","1,008.20","1,000.18","1,348.00","686.00","6,92,258","69,23,82,912.05","31,407"
"11-Sep-2024","EQ","1,008.05","1,012.85","990.90","1,014.00","999.00","998.10","1,002.20","1,348.00","686.00","6,28,404","62,97,85,125.90","31,082"
"10-Sep-2024","EQ","1,001.05","1,020.00","1,001.05","1,007.05","1,014.40","1,014.00","1,013.36","1,348.00","686.00","12,69,824","1,28,67,87,490.80","43,360"
"09-Sep-2024","EQ","985.30","1,009.15","968.30","985.35","1,008.00","1,007.05","988.26","1,348.00","686.00","27,22,062","2,69,01,16,162.20","1,31,096"
"06-Sep-2024","EQ","1,012.45","1,012.50","983.00","1,007.45","985.75","985.35","991.48","1,348.00","686.00","16,36,983","1,62,30,29,382.95","96,667"
"05-Sep-2024","EQ","1,035.00","1,037.80","1,001.30","1,028.60","1,007.90","1,007.45","1,016.50","1,348.00","686.00","11,62,678","1,18,18,58,457.65","56,636"
